Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
71,8.02642776,-10.28683117,4.045892099,-6.338741565e-07,6.167180681,1.852189031e-08,8.010053837,-38.96393337,11.87542349,1.150651587e-06,27.17045233,1.999557221e-05
72,8.746376053,-10.29226214,4.046761113,-6.129089962e-07,6.170346354,1.790928544e-08,8.729691289,-38.96325087,11.87306525,1.112594198e-06,27.17368012,1.933422584e-05
73,9.461341525,-10.29765552,4.047624113,-5.920889374e-07,6.173490117,1.730092045e-08,9.444348071,-38.9625731,11.87072333,1.074800208e-06,27.17688557,1.867745669e-05
74,10.17090894,-10.30300818,4.048480597,-5.71426072e-07,6.176610144,1.669714867e-08,10.15360913,-38.96190045,11.86839909,1.037291566e-06,27.18006683,1.802564621e-05
75,10.87466307,-10.30831698,4.049330065,-5.509324917e-07,6.17970461,1.609832342e-08,10.85705941,-38.9612333,11.8660939,1.000090222e-06,27.18322201,1.737917583e-05
76,11.57218867,-10.3135788,4.050172014,-5.306202884e-07,6.182771689,1.550479804e-08,11.55428385,-38.96057206,11.8638091,9.632181253e-07,27.18634928,1.6738427e-05
77,12.26307052,-10.31879051,4.051005944,-5.105015538e-07,6.185809554,1.491692584e-08,12.2448674,-38.95991712,11.86154607,9.266972266e-07,27.18944676,1.610378114e-05
78,12.94689336,-10.32394896,4.051831353,-4.905883798e-07,6.188816381,1.433506015e-08,12.928395,-38.95926887,11.85930616,8.905494754e-07,27.19251259,1.547561969e-05
79,13.62324198,-10.32905103,4.05264774,-4.708928581e-07,6.191790342,1.375955428e-08,13.60445161,-38.95862771,11.85709074,8.547968216e-07,27.19554491,1.485432408e-05
80,14.29170113,-10.33409359,4.053454605,-4.514270805e-07,6.194729613,1.319076158e-08,14.27262215,-38.95799402,11.85490115,8.19461215e-07,27.19854186,1.424027576e-05
81,14.95185558,-10.3390735,4.054251445,-4.322031389e-07,6.197632368,1.262903535e-08,14.93249157,-38.95736821,11.85273877,7.845646055e-07,27.20150157,1.363385616e-05
82,15.6032901,-10.34398763,4.05503776,-4.13233125e-07,6.20049678,1.207472893e-08,15.58364483,-38.95675066,11.85060495,7.501289429e-07,27.20442219,1.303544672e-05
83,16.24558945,-10.34883285,4.055813048,-3.945291307e-07,6.203321024,1.152819563e-08,16.22566686,-38.95614177,11.84850105,7.161761771e-07,27.20730186,1.244542886e-05
