Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
70,-2.988736797,-2.478668231e-07,2.786846423e-07,-1.734679613e-07,-3.371523069e-06,5.068757765e-09,-2.988732395,-1.564110572,-0.965789266,3.148908705e-07,2.52990142,-4.844419137e-10
71,-2.670788013,-2.214981729e-07,2.490375207e-07,-1.550140354e-07,-3.012852589e-06,4.529531503e-09,-2.670784079,-1.397716845,-0.8630463535,2.81392046e-07,2.260764612,-4.329058541e-10
72,-2.367873345,-1.963763567e-07,2.207922546e-07,-1.374326981e-07,-2.671141739e-06,4.0158024e-09,-2.367869857,-1.239190997,-0.76516161,2.494772037e-07,2.00435386,-3.838066622e-10
73,-2.080539488,-1.72546714e-07,1.939998208e-07,-1.207556797e-07,-2.347007233e-06,3.528497624e-09,-2.080536424,-1.088819133,-0.6723116961,2.19203943e-07,1.76113193,-3.372329514e-10
74,-1.809333139,-1.500545841e-07,1.687111956e-07,-1.05014711e-07,-2.041065785e-06,3.068544344e-09,-1.809330474,-0.9468873581,-0.5846732726,1.906298633e-07,1.531561588,-2.932733351e-10
75,-1.554800991,-1.289453064e-07,1.449773558e-07,-9.024152226e-08,-1.753934108e-06,2.636869732e-09,-1.554798701,-0.8136817766,-0.502423,1.638125639e-07,1.3161056,-2.520164265e-10
76,-1.31748974,-1.092642205e-07,1.228492778e-07,-7.646784406e-08,-1.486228917e-06,2.234400954e-09,-1.3174878,-0.6894884932,-0.4257375392,1.388096441e-07,1.11522673,-2.135508392e-10
77,-1.097946082,-9.105666564e-08,1.023779382e-07,-6.372540689e-08,-1.238566925e-06,1.862065182e-09,-1.097944465,-0.5745936127,-0.3547935508,1.156787034e-07,0.9293877446,-1.779651863e-10
78,-0.8967167108,-7.436798132e-08,8.361431358e-08,-5.204594124e-08,-1.011564846e-06,1.520789584e-09,-0.8967153901,-0.4692832398,-0.2897676954,9.447734104e-08,0.7590514099,-1.453480814e-10
79,-0.7143483222,-5.924350694e-08,6.660938053e-08,-4.14611776e-08,-8.058393933e-07,1.21150133e-09,-0.71434727,-0.3738434792,-0.2308366339,7.52631564e-08,0.6046804911,-1.157881378e-10
80,-0.5513876112,-4.572858192e-08,5.141411559e-08,-3.200284646e-08,-6.220072817e-07,9.351275891e-10,-0.5513867991,-0.2885604355,-0.1781770268,5.809374885e-08,0.4667377541,-8.937396889e-11
81,-0.4083812729,-3.386854568e-08,3.807949535e-08,-2.370267831e-08,-4.606852246e-07,6.925955307e-10,-0.4083806715,-0.2137202135,-0.1319655348,4.302671773e-08,0.3456859644,-6.619418798e-11
82,-0.2858760027,-2.370873763e-08,2.665649635e-08,-1.659240366e-08,-3.224899358e-07,4.848323243e-10,-0.2858755816,-0.1496089178,-0.09237881872,3.01196624e-08,0.2419878879,-4.633740848e-11
83,-0.1844184954,-1.52944972e-08,1.719609518e-08,-1.070375299e-08,-2.080381291e-07,3.127651393e-10,-0.1844182238,-0.09651265329,-0.05959353915,1.943018221e-08,0.1561062901,-2.989224375e-11
84,-0.1045554464,-8.671163803e-09,9.749268387e-09,-6.068456797e-09,-1.179465183e-07,1.773211449e-10,-0.1045552924,-0.05471752453,-0.03378635681,1.101587653e-08,0.08850393668,-1.694730716e-11
85,-0.04683355071,-3.884076858e-09,4.36699255e-09,-2.718245572e-09,-5.283181737e-08,7.942751067e-11,-0.04683348173,-0.02450963626,-0.01513393237,4.934344693e-09,0.03964359342,-7.591212098e-12
86,-0.01179950354,-9.785757843e-10,1.100244232e-09,-6.848498085e-10,-1.331073998e-08,2.00114059e-11,-0.01179948616,-0.006175093183,-0.003812926541,1.243186066e-09,0.009988025969,-1.91257192e-12
87,0,0,0,0,0,0,0,0,0,0,0,0
