Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
66,9.979285614e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.238235078e-05,-7.14140075,-21.57853594,-0.0001746241406,28.71993487,0.0001495906187
67,8.761902703e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.401924175e-05,-7.233643773,-21.85725846,-0.0001769205274,29.09090041,0.0001522324254
68,7.601107847e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.558004452e-05,-7.32159903,-22.12302502,-0.0001791101704,29.44462223,0.000154751432
69,6.499120187e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.706177524e-05,-7.405098373,-22.37532754,-0.0001811888836,29.78042409,0.0001571428228
70,5.458158861e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.846145005e-05,-7.483973654,-22.61365795,-0.0001831524809,30.09762978,0.0001594017822
71,4.480443009e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-9.977608511e-05,-7.558056726,-22.83750816,-0.0001849967764,30.39556307,0.0001615234944
72,3.568191771e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001010026966,-7.627179441,-23.04637011,-0.0001867175839,30.67354773,0.0001635031439
73,2.723624285e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001021383005,-7.691173652,-23.23973571,-0.0001883107175,30.93090754,0.0001653359148
74,1.948959692e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001031799132,-7.74987121,-23.41709689,-0.0001897719911,31.16696627,0.0001670169915
75,1.246417131e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001041245507,-7.803103968,-23.57794557,-0.0001910972188,31.38104771,0.0001685415584
76,6.182157409e-07,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001049692293,-7.850703778,-23.72177367,-0.0001922822143,31.57247562,0.0001699047996
77,6.657466167e-08,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001057109649,-7.892502492,-23.84807312,-0.0001933227919,31.74057379,0.0001711018996
78,-4.062869675e-07,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001063467738,-7.928331963,-23.95633584,-0.0001942147653,31.88466598,0.0001721280426
79,-7.98150007e-07,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001068736722,-7.958024044,-24.04605375,-0.0001949539486,32.00407597,0.000172978413
80,-1.106795318e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001072886762,-7.981410586,-24.11671878,-0.0001955361557,32.09812754,0.0001736481951
81,-1.33000376e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001075888019,-7.998323442,-24.16782285,-0.0001959572007,32.16614447,0.0001741325731
82,-1.465556194e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.0001077710654,-8.008594463,-24.19885788,-0.0001962128974,32.20745052,0.0001744267315
83,-1.511233481e-06,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,-0.000107832483,-8.012055503,-24.2093158,-0.0001962990599,32.22136948,0.0001745258544
